caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
1,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
2,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$75,000 to $99,999","Less than $25,000",NA,1
3,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$75,000 to $99,999","$25,000 to $49,999",NA,0
4,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
5,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,3,"$50,000 to $74,999","Less than $25,000",2,1
6,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,4,"$50,000 to $74,999","Less than $25,000",NA,0
7,4,Born in Canada,By birth,Don't know,Not a visible minority,"Single, never married",1,Poor,2,"Less than $25,000","Less than $25,000",NA,0
8,10,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Good,4,"Less than $25,000","Less than $25,000",NA,0
9,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"Less than $25,000","Less than $25,000",NA,0
10,5,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Poor,2,"Less than $25,000","Less than $25,000",2,1
11,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"Less than $25,000","Less than $25,000",3,1
12,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",2,0
13,6,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$75,000 to $99,999","Less than $25,000",NA,0
14,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
15,6,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Fair,1,"$25,000 to $49,999","$25,000 to $49,999",NA,0
16,9,Born outside Canada,NA,NA,Visible minority,"Single, never married",6,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",2,0
17,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,3,"$125,000 and more","$125,000 and more",NA,1
18,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"$75,000 to $99,999","$75,000 to $99,999",2,0
19,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Fair,3,"$75,000 to $99,999","$50,000 to $74,999",NA,1
20,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,5,"$125,000 and more","$75,000 to $99,999",0,1
21,10,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,5,"$125,000 and more","$25,000 to $49,999",NA,1
22,8,Born outside Canada,NA,NA,Visible minority,"Single, never married",3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",1,1
23,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",0,1
24,7,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Good,4,"$125,000 and more","Less than $25,000",2,1
25,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
26,9,Born in Canada,By birth,No,Visible minority,"Single, never married",6,Excellent,3,"$75,000 to $99,999","$75,000 to $99,999",NA,1
27,7,Born in Canada,By birth,No,Visible minority,"Single, never married",7,Excellent,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,0
28,2,Born outside Canada,NA,NA,Visible minority,"Single, never married",1,Very good,5,"$125,000 and more","Less than $25,000",0,0
29,7,Born outside Canada,By naturalization,NA,Not a visible minority,Separated,6,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,0
30,9,Born outside Canada,By naturalization,NA,Not a visible minority,Living common-law,2,Good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
